C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SD (25),Eligible,,P,Will Bednar,SF,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATL (25),Eligible,,P,Caleb Kilian,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-LAA (25),Eligible,,P,Christian Chamberlain,KC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (22),Eligible,,P,Kendall Williams,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,Eligible,,P,Kohl Franklin,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-ATH (25),2028,,P,Yander Maria,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 3,2028,,P/UT,Conrad Cason,BOS,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-KC (25),2027,,P,Anderson Brito,HOU,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,P,Jeison Calvo,ARZ,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,P,Will Sanders,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,P,Luis Rujano,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,P,Gary Gill Hill,TB,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PHI (25),2026,,P,Caden Dana,LAA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-STL (25),2026,,P,Dylan Lesko,SD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SD (25),2025,,P,Tyler Stuart,NYM,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-PIT (25),2025,,P,Trey Dombroski,HOU,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Inaugural Draft,2025,,P,Drew Gray,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (22),2025,,P,Owen Kellington,PIT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,x,,,,,,,,,,,,,OF,Trayce Thompson,LAD,"2,250,000",,,,,,,,,,,,,
,,,,,,x,,,,,,,,,,,,,OF,Avisail Garcia,MIA,"3,600,000",,,,,,,,,,,,,
,,,,,,,,,,,,,,,x,,,,OF,Aledmys Diaz,FA,"2,955,000",,,,,,,,,,,,,
